configuration_group,configuration_name,configuration_value,configuration_label,category,n_observations,n_prompts,n_workers,ttft_s_mean,ttft_s_std,ttft_s_mean_pm_std,tpot_s_mean,tpot_s_std,tpot_s_mean_pm_std,prompt_tps_mean,prompt_tps_std,prompt_tps_mean_pm_std,generation_tps_mean,generation_tps_std,generation_tps_mean_pm_std,peak_rss_mb_mean,peak_rss_mb_std,peak_rss_mb_mean_pm_std
decode_length,n_predict,512,n_predict=512,long,33,11,0,3.7285006328178993,0.1230770003453253,3.728501 +/- 0.123077,0.050711024772510306,0.0008246467301149336,0.050711 +/- 0.000825,73.62424242424242,5.959342995615702,73.624242 +/- 5.959343,19.724242424242423,0.29583600084158,19.724242 +/- 0.295836,3681.2093986742425,5.829307778895634,3681.209399 +/- 5.829308
decode_length,n_predict,512,n_predict=512,overall,93,31,0,3.135509782526545,0.6731875132583035,3.135510 +/- 0.673188,0.050198609136928515,0.001002161090795388,0.050199 +/- 0.001002,95.0279569892473,53.86139895015441,95.027957 +/- 53.861399,19.929032258064517,0.4145664695121384,19.929032 +/- 0.414566,3553.8230426747314,173.53649362417826,3553.823043 +/- 173.536494
decode_length,n_predict,2048,n_predict=2048,short,30,10,0,2.3113397031008693,0.37193173874785984,2.311340 +/- 0.371932,0.04960845319789341,0.0011987019827224565,0.049608 +/- 0.001199,155.7433333333333,43.26126469474171,155.743333 +/- 43.261265,20.17,0.5200464170264699,20.170000 +/- 0.520046,3340.0583333333334,107.22581406044408,3340.058333 +/- 107.225814
decode_length,n_predict,2048,n_predict=2048,medium,30,10,0,3.324905038900033,0.3873850559660084,3.324905 +/- 0.387385,0.05038695674616396,0.00018605959790111284,0.050387 +/- 0.000186,57.81666666666668,39.61933595618679,57.816667 +/- 39.619336,19.846666666666668,0.07302967433402159,19.846667 +/- 0.073030,3635.6256510416665,122.58392801927984,3635.625651 +/- 122.583928
decode_length,n_predict,2048,n_predict=2048,long,33,11,0,3.740999794787609,0.09494817551319026,3.741000 +/- 0.094948,0.050786871876962056,0.00032498761461060687,0.050787 +/- 0.000325,72.82121212121211,6.470739794246751,72.821212 +/- 6.470740,19.69090909090909,0.1259058089496774,19.690909 +/- 0.125906,3680.7425426136365,6.4090213169276975,3680.742543 +/- 6.409021
decode_length,n_predict,2048,n_predict=2048,overall,93,31,0,3.145595005247507,0.6772293539448001,3.145595 +/- 0.677229,0.05027773193829534,0.0008622750101514368,0.050278 +/- 0.000862,94.73010752688174,54.12665859482262,94.730108 +/- 54.126659,19.895698924731178,0.3644274778735353,19.895699 +/- 0.364427,3556.290574596774,176.71958886740418,3556.290575 +/- 176.719589
threads,threads,4,threads=4,short,30,10,0,2.651420995800072,0.3991481917974816,2.651421 +/- 0.399148,0.05751349948042989,0.0013233267120042293,0.057513 +/- 0.001323,55.699999999999996,10.064310449682392,55.700000 +/- 10.064310,17.39666666666667,0.42465672411176225,17.396667 +/- 0.424657,3336.4197916666667,108.42369861730117,3336.419792 +/- 108.423699
threads,threads,4,threads=4,medium,30,10,0,3.838511393299632,0.46158219736909906,3.838511 +/- 0.461582,0.05840033279733759,0.0001716997299673877,0.058400 +/- 0.000172,35.67666666666666,8.61581078032119,35.676667 +/- 8.615811,17.12333333333334,0.05040069329937231,17.123333 +/- 0.050401,3624.4100260416667,109.42534036498094,3624.410026 +/- 109.425340
threads,threads,4,threads=4,long,33,11,0,4.723199177636464,0.20688130567948737,4.723199 +/- 0.206881,0.05928963619239177,0.0002596513956225216,0.059290 +/- 0.000260,46.56363636363636,2.1013118197060523,46.563636 +/- 2.101312,16.866666666666667,0.07359800721939831,16.866667 +/- 0.073598,3674.189512310606,7.490029454575197,3674.189512 +/- 7.490029
threads,threads,4,threads=4,overall,93,31,0,3.769500478870908,0.9315095723500898,3.769500 +/- 0.931510,0.05842981680303175,0.0010601923130125841,0.058430 +/- 0.001060,45.998924731182804,11.063929785997852,45.998925 +/- 11.063930,17.120430107526886,0.3278915315694941,17.120430 +/- 0.327892,3549.1736391129034,172.37002310792204,3549.173639 +/- 172.370023
threads,threads,16,threads=16,short,30,10,0,2.3118986495998493,0.35918096706489466,2.311899 +/- 0.359181,0.048741211213369155,0.0008808097850248099,0.048741 +/- 0.000881,156.11666666666667,43.24677451263997,156.116667 +/- 43.246775,20.523333333333326,0.3901222914662153,20.523333 +/- 0.390122,3339.3494791666667,107.45021154830994,3339.349479 +/- 107.450212
threads,threads,16,threads=16,medium,30,10,0,3.3334414697665733,0.3920754783899536,3.333441 +/- 0.392075,0.04931822626031875,0.00015258881123332186,0.049318 +/- 0.000153,57.35333333333334,39.706845873166536,57.353333 +/- 39.706846,20.27666666666666,0.06260623155792931,20.276667 +/- 0.062606,3627.7265625,110.40287401804036,3627.726562 +/- 110.402874
threads,threads,16,threads=16,long,33,11,0,3.739869108878669,0.14316755936126752,3.739869 +/- 0.143168,0.04990969471206477,0.00015035979164074536,0.049910 +/- 0.000150,73.01515151515153,6.862175366279687,73.015152 +/- 6.862175,20.036363636363635,0.060302268915553583,20.036364 +/- 0.060302,3688.9808238636365,43.73786872915087,3688.980824 +/- 43.737869
threads,threads,16,threads=16,overall,93,31,0,3.148127786817083,0.6790259148852478,3.148128 +/- 0.679026,0.049341968276438435,0.0007023109884503249,0.049342 +/- 0.000702,94.76989247311826,54.37271691348088,94.769892 +/- 54.372717,20.270967741935483,0.3016550885139638,20.270968 +/- 0.301655,3556.437079973118,177.40666030059313,3556.437080 +/- 177.406660
threads,threads,64,threads=64,short,30,10,0,2.2865806079663646,0.351269786360779,2.286581 +/- 0.351270,0.05768290062355283,0.0020711874485622814,0.057683 +/- 0.002071,197.99000000000004,62.306729309452436,197.990000 +/- 62.306729,17.36,0.6871229373514486,17.360000 +/- 0.687123,3342.130078125,105.60033906321168,3342.130078 +/- 105.600339
threads,threads,64,threads=64,medium,30,10,0,3.2673366996004916,0.3753948148527912,3.267337 +/- 0.375395,0.05825445579171855,0.00035033612061527946,0.058254 +/- 0.000350,65.26,52.520824113081474,65.260000 +/- 52.520824,17.166666666666668,0.10283342182227607,17.166667 +/- 0.102833,3636.469661458333,119.73263531634167,3636.469661 +/- 119.732635
threads,threads,64,threads=64,long,33,11,0,3.5608248965757165,0.052997889061742215,3.560825 +/- 0.052998,0.05949331966093079,0.00032294200963675656,0.059493 +/- 0.000323,82.91818181818182,8.514893369321138,82.918182 +/- 8.514893,16.809090909090912,0.09139076937674116,16.809091 +/- 0.091391,3692.4224668560605,7.092535049062252,3692.422467 +/- 7.092535
threads,threads,64,threads=64,overall,93,31,0,3.0551047399355302,0.6191238402844536,3.055105 +/- 0.619124,0.05850968001364361,0.0014206991476172404,0.058510 +/- 0.001421,114.34193548387096,74.42997047499641,114.341935 +/- 74.429970,17.102150537634408,0.45706494986647894,17.102151 +/- 0.457065,3561.3756300403224,178.11489490542667,3561.375630 +/- 178.114895
threads,threads,128,threads=128,short,30,10,0,2.593919714800116,0.33837326664188605,2.593920 +/- 0.338373,0.17513587295995398,0.00916527618133359,0.175136 +/- 0.009165,68.87666666666668,18.185569939459924,68.876667 +/- 18.185570,5.723333333333334,0.2674055854436043,5.723333 +/- 0.267406,3345.404817708333,103.18978275503241,3345.404818 +/- 103.189783
threads,threads,128,threads=128,medium,30,10,0,3.479522374133497,0.37643405819071124,3.479522 +/- 0.376434,0.16755161927768303,0.012207713039262491,0.167552 +/- 0.012208,46.89666666666666,11.197151218158075,46.896667 +/- 11.197151,5.996666666666667,0.40384644857047897,5.996667 +/- 0.403846,3637.594661458333,119.84317574704842,3637.594661 +/- 119.843176
threads,threads,128,threads=128,long,33,11,0,3.7222889266061734,0.05181771459795264,3.722289 +/- 0.051818,0.15987600925595447,0.007588829198083128,0.159876 +/- 0.007589,76.92727272727272,7.519195133426546,76.927273 +/- 7.519195,6.266666666666666,0.256985732418488,6.266667 +/- 0.256986,3707.1500946969695,7.756247250116309,3707.150095 +/- 7.756247
threads,threads,128,threads=128,overall,93,31,0,3.2799870671614206,0.5642097084864749,3.279987 +/- 0.564210,0.1672745491674796,0.01154549539275166,0.167275 +/- 0.011545,64.64301075268818,18.058289664845017,64.643011 +/- 18.058290,6.004301075268814,0.3838913961273036,6.004301 +/- 0.383891,3568.0208333333335,180.5174253091914,3568.020833 +/- 180.517425
